01/02/2021	3	Captain Falcon	1		3,3	458	460	Cloud	2	311	3,3,1	361	417	Mewtwo	3	262	1,1,2	358	318
01/02/2021	3	Captain Falcon	3	240	3,2,2	334	397	Shulk	1		1,1	312	412	Mewtwo	2	244	1,1,2	484	332
01/02/2021	3	Captain Falcon	3	228	3,2,2	412	384	Shulk	2	237	1,1,3	307	331	Bowser	1		2,1	367	385
01/02/2021	3	Captain Falcon	3	190	3,3,3	246	421	Palutena	1		3,1	494	388	Mewtwo	2	292	2,2,2	458	404
01/02/2021	3	Captain Falcon	1		3,3	505	319	Shulk	3	135	3,1,1	117	286	Mewtwo	2	221	2,1,1	348	373
01/02/2021	3	Captain Falcon	2	246	3,2,2	568	360	Bayonetta	3	241	3,3,3	376	366	Ice Climbers	1		1,1	372	349
01/02/2021	3	Captain Falcon	3	169	2,3,1	232	280	Bayonetta	2	229	1,3,3	300	337	Ice Climbers	1		2	405	182
01/02/2021	3	Captain Falcon	1		2,2	623	312	Palutena	2	251	1,1,1	491	373	Ice Climbers	3	245	1,1,1	282	372
02/02/2021	3	Little Mac	3	174	3,2,3	226	299	Palutena	1		1,1	452	318	Mewtwo	2	316	1,2,2	361	437
02/02/2021	3	Little Mac	1		3,3	524	254	Shulk	3	155	1,1,1	136	297	Mewtwo	2	177	1,2,1	227	345
02/02/2021	3	Little Mac	1		2	419	261	Shulk	2	190	3,1,1	227	302	Bowser	3	145	1,1,2	225	319
02/02/2021	3	Little Mac	3	233	2,3,3	289	466	Cloud	2	298	1,1,3	497	325	Bowser	1		2,1	387	403
02/02/2021	3	Little Mac	3	178	3,2,3	372	298	Palutena	2	217	1,3,3	362	392	Bowser	1		2,1	311	376
02/02/2021	3	Little Mac	1		3,2	386	337	Palutena	3	241	1,1,3	348	357	Lucario	2	250	1,1,1	346	404
02/02/2021	3	Little Mac	3	202	3,3,3	489	366	Palutena	2	251	1,1,3	259	383	Lucario	1		1,1	378	393
02/02/2021	3	Ness	3	238	2,3,3	416	290	Shulk	2	312	1,1,3	282	365	Lucario	1		2,2	297	355
02/02/2021	3	Ness	3	192	3,3,3	386	236	Shulk	2	196	1,1,3	190	455	Bowser	1		1,1	413	314
02/02/2021	3	Ness	3	135	2,2,2	178	302	Palutena	2	198	1,1,3	333	331	Bowser	1		2,2	381	266
02/02/2021	3	Ness	1		3,2	315	400	Palutena	2	233	1,3,1	516	319	Bowser	3	225	2,2,2	342	468
02/02/2021	3	R.O.B.	3	222	2,2,3	327	407	Palutena	1		3,3	454	293	Bowser	2	236	2,1,2	289	384
02/02/2021	3	R.O.B.	3	285	2,3,3	431	462	Palutena	2	299	1,3,3	414	381	Bowser	1		2,1	327	341
02/02/2021	3	R.O.B.	2	291	2,3,3	322	477	Cloud	3	284	3,1,1	373	301	Mewtwo	1		1,1	426	355
02/02/2021	3	Ganondorf	2	228	3,3,3	430	469	Palutena	3	180	3,3,1	363	324	Bowser	1		1,1	393	422
02/02/2021	3	Ganondorf	2	155	2,3,3	317	367	Palutena	3	152	3,1,3	207	305	Bowser	1		1,2	422	294
02/02/2021	3	Ganondorf	3	182	2,2,1	274	298	Palutena	2	254	1,3,3	416	393	Lucario	1		1,2	328	335
02/02/2021	3	Ganondorf	1		3,3	510	359	Palutena	3	204	1,1,1	263	312	Lucario	2	246	1,1,1	269	381
03/02/2021	3	Ness	3	205	2,2,2	291	366	Cloud	1		1,3	449	213	Lucario	2	238	1,1,2	158	333
03/02/2021	3	Ness	2	180	2,3,1	290	228	Shulk	3	133	3,3,1	192	143	Bowser	1		2,1	243	360
03/02/2021	3	Ness	1		2,3	660	306	Shulk	2	332	1,1,1	235	434	Bowser	3	268	1,2,2	279	455
03/02/2021	3	Ness	2	286	3,2,2	498	390	Palutena	1		3,1	451	381	Bowser	3	236	1,2,1	343	539
03/02/2021	3	Ganondorf	1		3,3	621	408	Palutena	2	227	1,1,1	322	354	Bowser	3	213	1,1,1	245	443
03/02/2021	3	Ganondorf	1		3,3	359	401	Palutena	2	232	1,1,1	326	353	Bowser	2	232	1,1,3	329	273
03/02/2021	3	Ganondorf	3	206	2,2,3	329	435	Palutena	2	223	3,3,3	422	319	Bowser	1		2,1	327	337
03/02/2021	3	Little Mac	3	167	2,3,3	342	307	Palutena	1		1,1	452	272	Bowser	2	256	1,2,2	247	482
03/02/2021	3	Little Mac	2	233	2,3,3	426	348	Palutena	3	158	3,3,1	291	281	Bowser	1		1,1	276	377
03/02/2021	3	Little Mac	3	234	3,3,2	325	402	Cloud	1		1,1	479	312	Lucario	2	266	2,2,2	326	427
03/02/2021	3	R.O.B.	2	354	3,2,3	435	478	Cloud	3	299	3,1,1	336	332	Lucario	1		1,1	410	384
03/02/2021	3	Ness	2	254	3,3,3	393	397	Palutena	3	211	3,3,1	243	376	Mewtwo	1		1,2	501	379
03/02/2021	3	Ness	1		3,3	405	355	Shulk	3	258	1,1,3	270	350	Mewtwo	2	261	1,1,1	409	384
03/02/2021	3	Ganondorf	2	202	2,3,2	242	476	Palutena	1		3,1	500	331	Mewtwo	3	166	1,1,2	372	319
03/02/2021	3	Incineroar	2	207	3,3,2	337	420	Palutena	1		1,1	384	310	Mewtwo	3	190	1,1,1	250	261
04/02/2021	3	Captain Falcon	3	117	2,3,3	272	225	Palutena	2	217	3,1,3	300	320	Bowser	1		1,1	292	329
04/02/2021	3	Captain Falcon	3	230	3,2,2	520	248	Cloud	2	308	3,1,3	355	355	Ice Climbers	1		1,1	346	367
04/02/2021	3	Captain Falcon	2	275	3,3,3	423	490	Palutena	3	238	1,3,1	299	312	Lucario	1		1,2	421	352
04/02/2021	3	Captain Falcon	3	233	3,2,3	373	372	Palutena	2	287	1,1,3	456	397	Kirby	1		1,2	321	394
04/02/2021	3	Ness	2	214	3,3,3	428	378	Bayonetta	3	202	3,1,3	298	338	Bowser	1		2,1	403	422
04/02/2021	3	Ness	2	299	2,2,2	361	472	Palutena	1		3,1	431	363	Mewtwo	3	246	2,1,2	268	239
04/02/2021	3	Ness	2	246	3,3,3	408	407	Palutena	3	225	3,3,3	382	332	Bowser	1		1,1	338	404
05/02/2021	3	Ness	3	223	3,2,2	341	293	Palutena	2	320	1,1,3	424	407	Lucario	1		1,2	285	371
05/02/2021	3	Ness	2	311	2,3,3	374	401	Palutena	3	235	3,3,3	405	246	Bowser	1		1,2	287	441
05/02/2021	3	Ness	1		3,2	519	341	Palutena	3	274	3,1,1	430	319	Bowser	2	309	1,2,1	206	509
05/02/2021	3	Little Mac	2	235	3,3,3	271	339	Palutena	3	213	1,1,1	303	339	Mewtwo	1		1,1	372	284
05/02/2021	3	Peach	3	204	3,2,2	233	387	Palutena	1		3,3	385	349	Mewtwo	2	256	1,2,2	445	339
05/02/2021	3	Ganondorf	2	252	3,3,3	362	399	Palutena	3	201	3,1,1	272	343	Mewtwo	1		1,1	380	275
05/02/2021	3	Ganondorf	3	184	2,3,2	456	340	Palutena	2	199	1,1,3	358	335	Bowser	1		1,1	288	433
05/02/2021	3	Ganondorf	1		3,2	375	430	Palutena	3	228	1,1,1	430	356	Mewtwo	2	235	2,1,1	317	350
05/02/2021	3	Ganondorf	3	238	2,3,2	348	478	Palutena	1		3,1	458	379	Mewtwo	2	258	1,1,2	377	341
05/02/2021	3	Ness	2	220	3,3,3	439	373	Palutena	3	185	3,3,1	356	345	Bowser	1		1,1	428	522
05/02/2021	3	Ness	3	180	3,2,2	261	344	Palutena	1		3,3	335	321	Bowser	2	218	2,1,2	391	335
05/02/2021	3	Little Mac	3	180	2,3,2	309	360	Cloud	2	220	1,1,3	348	322	Bowser	1		2,1	374	369
05/02/2021	3	Ness	1		3,2	531	354	Cloud	3	210	1,3,3	320	355	Bowser	2	261	2,2,1	360	514
05/02/2021	3	Ness	1		3,3	507	398	Shulk	2	302	1,3,1	287	349	Bowser	3	290	2,2,2	415	479
05/02/2021	3	Ness	1		3,3	417	417	Shulk	2	238	3,1,1	232	387	Bowser	3	215	1,1,2	467	331
05/02/2021	3	Ness	3	270	2,3,2	409	374	Palutena	2	272	1,1,3	384	380	Lucario	1		1,1	277	330
05/02/2021	3	Ness	1		2,2	463	373	Palutena	2	272	1,1,1	383	416	Lucario	3	248	2,2,1	282	370
05/02/2021	3	Ness	1		3,3	377	329	Palutena	3	232	1,3,3	369	367	Lucario	2	269	2,1,1	350	408
05/02/2021	3	Ness	2	311	2,3,2	564	405	Cloud	1		1,3	442	371	Bowser	3	264	1,1,2	253	507
05/02/2021	3	Ness	2	230	2,3,3	347	371	Cloud	3	187	3,3,3	306	272	Bowser	1		2,1	335	362
05/02/2021	3	Ness	3	263	3,2,2	347	390	Palutena	2	272	3,3,3	394	320	Bowser	1		1,2	386	433
05/02/2021	3	Ness	2	336	3,3,3	464	469	Cloud	3	298	3,1,1	364	393	Mewtwo	1		2,1	389	387
05/02/2021	3	Ness	3	196	3,2,2	280	295	Palutena	1		3,1	419	377	Mewtwo	2	263	2,1,2	368	407
05/02/2021	3	Ness	1		3,2	336	361	Palutena	2	233	1,3,1	324	282	Mewtwo	3	228	2,1,1	355	395
05/02/2021	3	Donkey Kong	3	221	3,2,3	346	376	Palutena	2	277	3,1,3	305	439	Mewtwo	1		1,1	459	309
05/02/2021	3	Ganondorf	1		3,3	444	396	Palutena	3	239	1,3,3	364	351	Bowser	2	247	1,1,1	367	439
05/02/2021	3	Ganondorf	3	225	2,2,2	377	334	Cloud	2	286	1,1,3	383	366	Wii Fit Trainer	1		1,1	338	409
07/02/2021	3	Ness	2	348	2,3,2	463	466	Palutena	1		3,1	547	400	Bowser	3	312	2,1,2	363	541
07/02/2021	3	Ness	1		2,2	382	379	Palutena	2	241	3,3,1	399	322	Bowser	3	240	1,1,2	276	367
07/02/2021	3	Ness	3	288	2,3,2	285	382	Cloud	2	310	1,3,3	318	441	Mewtwo	1		2,2	560	344
07/02/2021	3	Ganondorf	1		3,2	496	307	Cloud	2	248	1,1,1	280	359	Lucario	3	244	1,1,2	249	383
07/02/2021	3	Ganondorf	1		2,2	517	345	Palutena	3	192	3,1,1	335	393	Ice Climbers	2	207	1,1,1	328	262
07/02/2021	3	Ganondorf	3	253	2,2,3	380	482	Palutena	1		1,3	844	408	Ice Climbers	2	449	1,2,2	429	413
07/02/2021	3	Ganondorf	1		3,2	596	394	Palutena	2	260	1,1,1	485	385	Ice Climbers	3	244	1,1,1	308	328
07/02/2021	3	Ganondorf	1		3,3	429	439	Palutena	3	250	1,1,3	438	311	Lucario	2	261	2,1,1	314	443
07/02/2021	3	Ganondorf	1		2,3	437	350	Palutena	3	190	1,1,1	357	383	Lucario	2	202	2,1,1	265	337
07/02/2021	3	Ganondorf	3	218	3,3,3	367	406	Palutena	2	237	1,1,3	354	365	Lucario	1		1,1	362	337
07/02/2021	3	Ganondorf	1		3,2	515	368	Palutena	2	214	1,1,1	326	407	Bowser	3	155	1,1,1	193	282
07/02/2021	3	Ganondorf	2	261	2,3,3	461	465	Palutena	3	215	1,3,1	293	370	Bowser	1		1,1	429	373
07/02/2021	3	Ness	3	295	2,2,3	399	383	Cloud	1		1,1	503	364	Kirby	2	306	2,2,2	259	435
07/02/2021	3	Ness	3	251	2,3,3	330	334	Cloud	2	276	1,1,3	437	451	Kirby	1		1,1	363	351
07/02/2021	3	Ness	2	194	2,2,2	261	325	Palutena	1		3,3	455	281	Bowser	2	194	1,1,2	294	412
07/02/2021	3	Ness	1		3,3	478	406	Palutena	3	237	1,3,3	297	385	Bowser	2	264	2,2,1	462	478
07/02/2021	3	Ganondorf	2	207	3,2,3	287	422	Palutena	3	200	3,3,3	438	337	Bowser	1		2,2	463	443
07/02/2021	3	Ganondorf	2	251	2,3,2	442	330	Palutena	1		1,3	420	371	Bowser	3	246	2,2,1	283	459
07/02/2021	3	Ganondorf	3	232	3,3,3	413	382	Palutena	2	318	1,1,3	455	385	Bowser	1		1,1	318	437
08/02/2021	3	Ganondorf	3	188	3,3,3	422	367	Palutena	2	200	1,1,3	323	305	Bowser	1		1,2	280	366
08/02/2021	3	Ganondorf	1		3,3	422	337	Palutena	3	179	1,3,3	223	244	Bowser	2	220	1,2,1	353	424
08/02/2021	3	Ganondorf	1		3,3	550	444	Palutena	2	282	1,1,1	401	415	Bowser	3	257	1,2,1	347	456
08/02/2021	3	Ganondorf	2	267	2,2,3	449	448	Palutena	3	230	1,3,1	378	409	Lucario	1		2,2	352	337
08/02/2021	3	Ness	2	337	3,3,2	416	429	Palutena	1		3,3	484	371	Bowser	3	332	1,2,2	392	514
08/02/2021	3	Ness	3	289	3,3,3	453	361	Palutena	2	328	3,1,3	415	366	Bowser	1		1,2	333	493
08/02/2021	3	Ness	2	292	2,2,3	465	421	Palutena	3	275	3,3,3	416	435	Lucario	1		1,2	334	367
08/02/2021	3	Ness	2	298	2,3,2	457	362	Cloud	1		1,3	270	343	Lucario	3	284	2,1,1	317	352
08/02/2021	3	Ness	1		3,2	360	351	Cloud	3	281	3,3,3	417	346	Lucario	2	283	1,1,1	323	414
08/02/2021	3	Ness	1		2,2	412	381	Palutena	3	321	3,1,1	342	407	Lucario	2	326	2,1,1	448	438
08/02/2021	3	Ness	2	282	3,3,3	421	405	Palutena	3	204	1,3,1	327	338	Lucario	1		1,1	333	345
08/02/2021	3	Ganondorf	3	238	3,2,2	549	376	Palutena	2	259	1,1,3	545	415	Ice Climbers	1		1,1	369	344
08/02/2021	3	Ganondorf	3	236	3,3,2	398	386	Bayonetta	2	256	1,1,3	254	331	Lucario	1		1,1	399	346
08/02/2021	3	Ganondorf	3	188	3,3,2	223	377	Bayonetta	2	195	1,3,3	195	281	Mewtwo	1		2	475	241
08/02/2021	3	Ganondorf	1		3,3	424	379	Bayonetta	3	136	1,1,1	121	314	Mewtwo	2	216	2,1,1	445	306
08/02/2021	3	Ganondorf	2	173	3,3,2	300	377	Palutena	1		1,3	366	262	Bowser	3	164	2,2,1	262	305
10/02/2021	3	Ganondorf	1		2,2	449	361	Palutena	2	252	1,1,1	388	357	Sheik	3	223	1,1,2	231	365
10/02/2021	3	Ness	1		2,2	350	428	Palutena	2	314	1,3,1	470	421	Sheik	3	281	2,2,1	370	368
10/02/2021	3	Ness	3	255	2,3,3	331	391	Chrom	2	275	1,3,3	381	407	Sheik	1		2,1	378	313
10/02/2021	3	Little Mac	2	331	3,2,2	464	449	Cloud	1		1,1	372	336	Sheik	3	283	1,1,2	300	359
10/02/2021	3	R.O.B.	2	279	2,3,2	427	418	Palutena	1		1,1	457	388	Sheik	3	232	1,1,2	244	337
10/02/2021	3	Yoshi	3	254	2,2,2	445	404	Palutena	2	256	1,3,3	432	358	Sheik	1		1,1	228	360
10/02/2021	3	Yoshi	1		2,2	471	419	Palutena	2	296	3,1,1	459	424	Sheik	3	284	2,2,2	264	377
10/02/2021	3	Yoshi	3	200	2,2,2	363	277	Palutena	2	271	3,3,3	305	404	Bowser	1		2,1	398	406
10/02/2021	3	Ganondorf	1		3,3	393	412	Palutena	2	287	1,1,1	422	384	Bowser	3	269	1,1,2	399	434
11/02/2021	3	Yoshi	2	374	3,2,3	381	507	Palutena	3	335	3,1,3	496	444	Sheik	1		1,1	395	352
11/02/2021	3	Yoshi	2	286	2,2,2	422	442	Palutena	1		1,1	489	362	Sheik	2	286	2,2,2	250	373
11/02/2021	3	Yoshi	2	370	3,2,3	514	451	Palutena	3	315	1,1,1	332	388	Sheik	1		2,2	334	357
11/02/2021	3	Yoshi	3	298	3,2,2	412	416	Palutena	2	310	1,3,3	481	366	Lucario	1		1,2	338	468
11/02/2021	3	Yoshi	3	252	2,3,3	320	390	Cloud	2	295	3,1,3	462	386	Lucario	1		2,1	358	371
11/02/2021	3	Yoshi	3	160	2,2,3	284	299	Palutena	2	203	1,1,3	352	381	Bowser	1		2,2	384	364
11/02/2021	3	Yoshi	1		3,2	528	434	Cloud	2	359	3,1,1	415	411	Sheik	3	302	2,1,1	269	391
11/02/2021	3	Ness	1		3,2	452	425	Palutena	3	331	3,1,3	430	420	Sheik	2	352	2,2,1	351	406
11/02/2021	3	Ness	3	278	3,3,3	321	315	Palutena	1		3,1	506	278	Bowser	2	299	2,1,2	305	548
11/02/2021	3	Ness	1		3,3	473	401	Palutena	2	296	3,3,1	433	379	Bowser	3	293	1,2,2	362	499
11/02/2021	3	Yoshi	1		2,3	557	389	Cloud	3	296	1,1,1	302	413	Sheik	2	359	1,2,1	349	419
12/02/2021	3	Ganondorf	2	213	2,2,3	361	362	Palutena	3	176	3,1,3	328	278	Lucario	1		2,1	285	341
12/02/2021	3	Ganondorf	1		2,2	411	419	Palutena	3	190	1,1,1	331	229	Lucario	2	251	1,1,1	253	363
12/02/2021	3	Ganondorf	2	267	2,2,2	435	498	Palutena	1		1,1	479	356	Sheik	3	261	2,1,1	289	365
12/02/2021	3	Ganondorf	2	261	3,3,2	433	407	Palutena	1		1,1	439	370	Sheik	3	229	1,1,1	283	398
12/02/2021	3	Yoshi	3	328	3,3,2	349	457	Palutena	2	384	1,1,3	390	420	Sheik	1		2,1	389	262
13/02/2021	3	Ness	2	314	2,2,2	346	460	Palutena	1		1,3	495	300	Sheik	3	299	1,1,2	287	390
13/02/2021	3	Ness	1		2	448	225	Palutena	2	260	1,1,1	273	397	Sheik	3	166	2,1,3	99	205
13/02/2021	3	Ganondorf	1		3,2	320	307	Palutena	2	236	1,1,1	358	328	Sheik	3	229	1,1,1	223	279
13/02/2021	3	Ganondorf	3	311	2,2,2	366	502	Palutena	2	323	1,1,3	493	386	Sheik	1		1,1	361	357
13/02/2021	3	Ganondorf	1		2,2	519	364	Palutena	2	276	3,1,1	349	386	Sheik	3	245	1,1,1	202	334
13/02/2021	3	Ganondorf	2	341	2,3,2	427	482	Palutena	1		3,1	384	420	Sheik	3	325	1,2,2	437	365
13/02/2021	3	Ness	3	193	3,2,1	198	274	Palutena	2	257	3,3,3	299	402	Sheik	1		1	393	229
13/02/2021	3	Ness	3	242	2,3,2	237	341	Palutena	2	331	1,3,3	517	388	Sheik	1		2,2	332	369
13/02/2021	3	Yoshi	1		2,2	438	311	Cloud	2	285	3,1,1	330	389	Sheik	3	258	2,1,2	287	368
13/02/2021	3	Little Mac	2	217	3,3,2	396	304	Cloud	1		1,3	346	303	Lucario	3	188	1,1,1	221	366
13/02/2021	3	Little Mac	2	269	3,2,2	487	457	Cloud	1		1,3	335	398	Lucario	3	221	1,1,1	301	282
13/02/2021	3	Little Mac	1		2,3	418	310	Cloud	2	248	1,1,1	297	371	Lucario	3	214	1,1,2	233	274
13/02/2021	3	Incineroar	1		3,2	416	391	Palutena	3	223	1,1,3	353	364	Lucario	2	237	1,1,1	301	330
13/02/2021	3	Incineroar	3	269	2,3,2	385	397	Palutena	2	281	1,1,3	383	390	Sheik	1		2,2	339	335
14/02/2021	3	Yoshi	3	262	2,2,2	306	258	Cloud	2	371	3,1,3	338	458	Sheik	1		2,1	392	340
14/02/2021	3	Yoshi	1		2,2	520	367	Cloud	2	298	1,3,1	379	455	Sheik	3	243	1,1,1	317	420
14/02/2021	3	Yoshi	3	298	3,2,2	511	472	Cloud	2	331	1,1,3	422	396	Sheik	1		2,2	295	379
14/02/2021	3	Little Mac	3	249	2,2,2	293	380	Cloud	1		1,1	507	358	Sheik	2	335	1,2,2	284	360
14/02/2021	3	Ganondorf	3	256	3,2,2	350	438	Cloud	1		1,1	377	267	Sheik	2	275	1,1,2	298	325
14/02/2021	3	Ganondorf	1		2,2	452	282	Cloud	2	228	1,1,1	268	397	Sheik	3	215	1,1,1	257	301
14/02/2021	3	Ness	3	354	3,2,2	480	326	Cloud	2	367	1,3,3	386	458	Sheik	1		1,1	270	367
14/02/2021	3	Incineroar	3	261	3,3,3	319	418	Palutena	2	340	3,1,3	513	383	Lucario	1		1,2	397	455
14/02/2021	3	Ganondorf	2	263	2,2,2	426	417	Palutena	1		1,1	456	319	Sheik	3	251	1,2,2	208	365
14/02/2021	3	Ganondorf	1		3,2	428	414	Palutena	2	286	1,1,1	399	413	Sheik	3	264	1,1,1	308	324
14/02/2021	3	Ganondorf	1		2,3	469	402	Palutena	3	272	3,1,1	284	344	Sheik	2	307	1,1,1	359	381
14/02/2021	3	Ganondorf	3	271	3,2,2	347	475	Palutena	2	320	3,3,3	510	394	Lucario	1		2,2	376	399
14/02/2021	3	Ness	2	341	3,2,3	459	397	Cloud	3	324	3,1,1	342	435	Lucario	1		2,1	415	400